;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
55;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;17;1928;606;[1871,566,1963,648];3132.52;0.642435;4744.07;17;VinoLapa175Bini175;False;dead
56;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;18;852;639;[819,596,880,669];2633.64;0.41257;2450.82;18;VinoLapa175Bini175;False;dead
57;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;19;390;641;[352,614,421,675];2694.58;0.576652;3016.15;19;VinoLapa175Bini175;False;dead
58;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;20;1232;664;[1189,620,1277,715];3301.71;0.581807;5710.78;20;VinoLapa175Bini175;False;dead
59;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;21;1079;644;[1058,627,1099,664];2846.49;0.660289;1137.04;21;VinoLapa175Bini175;False;dead
60;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;22;1971;652;[1940,626,2016,685];2802.79;0.575195;2918.2;22;VinoLapa175Bini175;False;dead
61;22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;23;1357;683;[1329,634,1378,718];3158.38;0.428769;2427.4;23;VinoLapa175Bini175;False;dead
62;23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;24;2117;671;[2048,635,2140,711];2764.5;0.504169;4270.31;24;VinoLapa175Bini175;False;dead
63;24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;25;475;667;[435,637,507,711];3322.85;0.702447;4183.0;25;VinoLapa175Bini175;True;alive
64;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;26;1073;703;[1013,666,1104,755];3256.74;0.607569;5848.12;26;VinoLapa175Bini175;False;dead
65;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;27;345;700;[319,671,375,727];2452.78;0.480356;2130.36;27;VinoLapa175Bini175;False;dead
66;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;28;257;734;[219,708,293,764];2792.15;0.649763;2872.42;29;VinoLapa175Bini175;False;dead
67;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;29;1061;783;[1035,753,1105,840];3399.73;0.501569;3988.17;30;VinoLapa175Bini175;False;dead
68;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;30;263;797;[228,756,341,841];2603.35;0.571432;5899.22;31;VinoLapa175Bini175;False;dead
69;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;31;163;812;[126,772,216,848];2706.21;0.687611;4828.18;32;VinoLapa175Bini175;False;dead
70;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;32;1617;817;[1574,787,1650,845];3010.54;0.511105;3008.7;33;VinoLapa175Bini175;False;dead
71;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;33;1325;825;[1284,786,1358,862];3870.23;0.647999;4312.89;34;VinoLapa175Bini175;False;dead
72;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;34;1954;829;[1924,802,1985,855];2606.81;0.517704;2273.03;35;VinoLapa175Bini175;False;dead
73;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;35;1441;870;[1398,834,1478,901];3366.27;0.556059;3222.69;37;VinoLapa175Bini175;False;dead
74;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;36;484;880;[448,857,547,912];2614.07;0.409279;3446.27;38;VinoLapa175Bini175;False;dead
75;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;37;1398;931;[1357,899,1445,977];3665.56;0.501598;4099.96;39;VinoLapa175Bini175;False;dead
76;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;38;1707;966;[1667,911,1792,1033];3062.34;0.584787;7613.3;40;VinoLapa175Bini175;False;dead
77;38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;39;1786;955;[1744,922,1822,987];3152.99;0.798457;3678.36;41;VinoLapa175Bini175;True;alive
