;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name
82;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;15;361;361;[338,342,394,384];2439.82;0.495947;1439.41;17;Pos_ctrl
83;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;16;1250;415;[967,353,1320,717];2256.09;0.288826;44797.2;19;Pos_ctrl
84;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;17;806;389;[773,359,840,431];2524.43;0.531792;3481.4;20;Pos_ctrl
85;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;18;506;395;[478,364,567,443];2642.88;0.407039;4296.92;21;Pos_ctrl
86;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;19;875;498;[821,442,934,606];3140.25;0.771941;15291.6;22;Pos_ctrl
87;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;20;1539;544;[1431,491,1607,593];2634.04;0.492578;11326.8;23;Pos_ctrl
88;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;21;2094;568;[2038,493,2165,612];2678.83;0.519119;8257.42;24;Pos_ctrl
89;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;22;1748;560;[1729,542,1767,581];2243.21;0.604692;1040.16;25;Pos_ctrl
90;22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;23;1852;595;[1796,552,1885,627];2325.68;0.573534;3860.42;26;Pos_ctrl
91;23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;24;2028;630;[1986,588,2065,665];2440.58;0.439757;3373.87;27;Pos_ctrl
92;24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;25;2109;628;[2072,600,2142,663];2708.17;0.692178;3011.89;28;Pos_ctrl
93;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;26;1762;654;[1732,629,1800,696];2392.96;0.625014;2872.42;29;Pos_ctrl
94;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;27;930;688;[874,659,958,719];2322.76;0.249406;2681.85;30;Pos_ctrl
95;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;28;1505;710;[1458,672,1534,740];2345.47;0.50369;3114.1;31;Pos_ctrl
96;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;29;733;733;[692,695,757,767];2802.56;0.564725;3193.95;32;Pos_ctrl
97;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;30;1706;827;[1652,789,1749,866];2657.28;0.614208;5890.7;33;Pos_ctrl
98;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;31;1893;858;[1845,807,1962,910];2185.57;0.516623;8356.43;34;Pos_ctrl
99;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;32;2048;827;[2034,811,2098,842];2673.8;0.534602;1360.62;35;Pos_ctrl
100;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;33;1345;871;[1306,833,1385,903];2386.76;0.573786;3694.33;36;Pos_ctrl
101;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;34;1267;905;[1243,886,1286,928];2276.1;0.443364;1193.47;38;Pos_ctrl
102;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;35;2153;914;[2126,891,2196,955];2344.28;0.545895;2901.17;39;Pos_ctrl
103;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;36;1905;960;[1832,909,1983,991];2436.83;0.451712;6822.27;40;Pos_ctrl
104;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;37;339;973;[290,944,373,1013];2734.58;0.427981;2748.92;41;Pos_ctrl
