;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;43;2087;972;[2048";936;2123;"1023];2841.89;0.746597;4809.02;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;44;903;1007;[813";961;942;"1056];2765.72;0.624298;8685.4;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;45;1560;1040;[1506";965;1623;"1121];2976.21;0.770809;12394.6;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;46;735;1011;[708";987;772;"1045];2246.15;0.507065;2421.01;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;47;619;1036;[592";1009;643;"1067];2009.12;0.330113;1723.67;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;48;683;1094;[646";1047;732;"1127];1960.98;0.163129;3067.25;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;49;421;1095;[368";1052;470;"1139];3593.35;0.875267;7318.4;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;50;1462;1100;[1425";1068;1498;"1136];2318.12;0.655511;3670.91;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;51;156;1101;[118";1069;197;"1135];2553.35;0.672999;4005.21;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;52;1794;1108;[1755";1073;1840;"1145];2754.3;0.674678;4553.5;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;53;2020;1158;[1958";1122;2065;"1196];2987.6;0.803938;6691.32;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;54;244;1176;[202";1134;287;"1219];2866.71;0.827382;5782.11;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;55;2165;1176;[2126";1142;2199;"1211];2527.6;0.757654;3749.69;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;56;1825;1263;[1749";1216;1879;"1314];2916.45;0.732281;8323.42;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;57;919;1419;[867";1369;980;"1470];3556.69;0.887923;9075.07;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;58;414;1454;[361";1411;465;"1500];3317.71;0.780517;7420.6;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;59;680;1451;[653";1422;721;"1485];2220.64;0.554816;2753.18;67"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;60;1781;1480;[1706";1424;1843;"1540];3623.61;0.838921;12229.6;68"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;61;1515;1496;[1486";1469;1544;"1524];2220.04;0.633331;2533.86;69"
