;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;43;1069;1185;[1042";1160;1096;"1217];3325.25;0.771069;2600.94;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;44;1461;1203;[1422";1164;1530;"1242];4073.62;0.859509;6179.22;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;45;335;1224;[288";1180;383;"1273];4574.53;0.929527;6644.47;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;46;717;1236;[673";1191;763;"1302];3831.26;0.817422;7802.81;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;47;2038;1280;[1984";1232;2092;"1329];4961.93;0.942977;8968.6;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;48;1753;1306;[1699";1258;1800;"1354];4405.59;0.915261;7553.68;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;49;1220;1313;[1181";1272;1260;"1354];4167.74;0.89384;5197.62;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;50;1912;1356;[1876";1321;1954;"1392];4236.66;0.904813;4689.78;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;51;1368;1392;[1332";1358;1407;"1428];4225.6;0.905052;4454.49;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;52;1774;1417;[1736";1381;1814;"1453];3695.3;0.896918;4657.84;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;53;822;1553;[796";1530;847;"1580];3113.74;0.731232;1950.44;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;54;1605;1582;[1582";1559;1633;"1606];2777.15;0.878525;1881.23;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;55;775;1651;[732";1607;818;"1697];4665.07;0.908367;6474.13;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;56;476;1934;[416";1883;528;"1998];5244.47;0.922358;10181.2;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;57;1400;1949;[1358";1901;1441;"1993];3934.49;0.890986;6212.23;64"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;58;1079;2005;[1035";1968;1116;"2046];3983.07;0.875609;5013.43;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;59;1445;2089;[1400";2045;1496;"2135];3994.8;0.915017;7194.9;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;60;514;2145;[481";2122;539;"2175];2897.89;0.750237;2149.53;67"
