;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;56;1991;1790;[1963";1768;2009;"1807];2001.94;0.592787;1209.44;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;57;53;1925;[14";1888;89;"1957];1955.73;0.755926;3436.69;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;58;1455;1969;[1437";1958;1474;"2008];2757.88;0.502093;1234.99;64"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;59;1217;2014;[1190";1980;1259;"2043];2662.25;0.544783;2596.68;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;60;886;2083;[864";2057;919;"2106];2172.71;0.633313;1911.04;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;61;1187;61;[1158";39;1216;"87];2245.3;0.293092;1458.57;67"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;62;1413;75;[1394";47;1443;"102];2260.58;0.297537;1289.29;68"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;63;550;222;[524";205;569;"268];2075.78;0.386255;1559.71;69"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;64;815;239;[798";224;836;"268];2506.62;0.424973;1050.81;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;65;2145;523;[2106";496;2172;"554];1936.58;0.266155;1852.49;71"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;66;1386;962;[1364";937;1408;"985];2348.23;0.489425;1423.44;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;67;1728;1148;[1705";1123;1751;"1172];2128.37;0.348463;1347.85;73"
