;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;73;284;1892;[242";1857;320;"1931];2535.39;0.668747;4486.43;84"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;74;770;1987;[728";1952;816;"2023];2830.28;0.698353;4794.11;85"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;75;242;2001;[199";1959;286;"2042];2739.2;0.727585;5598.99;86"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;76;994;2007;[955";1964;1034;"2049];3325.31;0.82864;5512.75;87"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;77;1750;2073;[1723";2045;1777;"2106];2220.23;0.778775;2619.04;88"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;78;1363;2103;[1334";2067;1395;"2135];2348.42;0.614351;2993.79;89"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;79;972;194;[925";182;995;"214];2170.78;0.236867;1122.14;92"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;80;672;309;[623";264;714;"354];2247.18;0.264436;4109.54;93"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;81;840;640;[501";296;1149;"858];2238.1;0.0368314;126308;94"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;82;578;410;[550";364;610;"423];2209.02;0.183237;1161.53;95"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;83;878;927;[858";906;901;"957];2222.98;0.270942;1157.27;96"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;84;728;977;[622";921;824;"1092];2211.49;0.168899;15824.9;97"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;85;667;1122;[510";1027;762;"1267];2203.18;0.0705385;24030.2;98"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;86;1593;382;[1574";346;1621;"411];2157.5;0.14323;1553.32;99"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;87;1306;784;[1233";692;1419;"875];2171.09;0.160916;16510.6;100"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;88;729;1838;[531";1766;861;"1917];2210.94;0.152445;23296.6;101"
