;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;41;904;1148;[866";1107;992;"1215];4567.61;0.742604;8480.99;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;42;1843;1156;[1762";1118;1888;"1203];4176.06;0.787823;7950.8;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;43;1372;1205;[1337";1168;1420;"1239];3958.86;0.728078;4381.03;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;44;1607;1232;[1564";1195;1654;"1270];4143.71;0.823782;5377.54;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;45;1127;1226;[1099";1198;1158;"1274];3103.11;0.540429;3224.82;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;46;517;1309;[475";1272;563;"1347];4619.73;0.906895;5504.23;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;47;703;1297;[684";1278;736;"1318];2835.79;0.414048;1351.04;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;48;157;1314;[125";1283;196;"1345];3346.56;0.857328;3637.9;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;49;1230;1326;[1194";1291;1266;"1362];4173.46;0.745376;4106.35;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;50;97;1365;[63";1331;134;"1400];3465.89;0.865649;4157.45;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;51;931;1386;[896";1350;968;"1421];3724.32;0.734883;4008.4;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;52;1832;1483;[1793";1455;1860;"1514];3175.16;0.719735;3216.3;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;53;636;1526;[597";1488;675;"1564];4315.87;0.829698;4937.84;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;54;1617;1536;[1577";1498;1661;"1577];4410.36;0.853322;5427.58;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;55;755;1588;[721";1556;789;"1641];3135.94;0.592255;4383.16;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;56;113;1599;[79";1565;155;"1633];3378.86;0.857573;4234.11;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;57;1925;1635;[1884";1595;1971;"1676];4804.58;0.93992;5908.8;64"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;58;1024;1655;[988";1617;1059;"1691];4359.47;0.806923;4350.15;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;59;319;1716;[283";1680;375;"1752];3718.51;0.792373;5213.58;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;60;1343;1760;[1300";1716;1388;"1805];5655.08;0.941705;6404.93;67"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;61;1125;1844;[1081";1807;1163;"1889];3237.46;0.560716;4562.02;68"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;62;1365;1900;[1326";1861;1402;"1938];4062.63;0.818659;4677;69"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;63;1563;1981;[1523";1942;1603;"2024];4360.6;0.893491;5532.98;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;64;622;1990;[584";1952;661;"2029];3842.77;0.864375;4901.64;71"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;65;1489;2111;[1423";2018;1551;"2175];7167.29;0.936692;15532.2;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;66;472;2045;[441";2019;499;"2072];2917.19;0.81402;2522.15;73"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;67;374;2056;[347";2032;395;"2086];2772.39;0.660164;2005.8;74"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;68;1002;2102;[970";2071;1034;"2136];3031.91;0.567824;3200.33;75"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;69;534;2137;[501";2103;568;"2174];3348.25;0.852648;3806.12;76"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;70;908;54;[844";26;949;"100];3087.08;0.214948;4370.38;77"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;71;754;123;[707";82;797;"167];3091.7;0.287502;4393.81;78"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;72;884;890;[859";871;931;"937];2879.87;0.22347;1942.98;79"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;73;979;956;[918";888;1042;"1017];2924.89;0.166823;8026.39;80"
