;well_id;well_name;row;column;plate;cond_id;Navi;Lapa;Bini;Vino;n_organoids;mean_roundness;Cond_name
78;312;E15;5;15;1;8;0.0;0.17607574;6.1006524;0.0;61;0.6657250983606556;LapaBini
79;315;E16;5;16;1;8;0.0;0.17607574;19.9883164;0.0;88;0.6166505375;LapaBini
80;338;F01;6;1;1;8;0.0;0.05455870306695;0.004959882096995;0.0;68;0.8803083970588237;LapaBini
81;341;F02;6;2;1;8;0.0;0.05455870207314;0.01735958702327;0.0;75;0.7472363466666667;LapaBini
82;344;F03;6;3;1;8;0.0;0.05455869882317;0.05455869882317;0.0;68;0.5951421911764706;LapaBini
83;347;F04;6;4;1;8;0.0;0.05455868819498;0.1760757664474;0.0;62;0.7761027903225807;LapaBini
84;350;F05;6;5;1;8;0.0;0.05455865343825;0.5951853102354;0.0;67;0.7467324776119403;LapaBini
85;353;F06;6;6;1;8;0.0;0.0545585397756;1.884749555884;0.0;80;0.5349369325;LapaBini
86;356;F07;6;7;1;8;0.0;0.05455868;6.1006524;0.0;61;0.8499185081967212;LapaBini
87;359;F08;6;8;1;8;0.0;0.05455868;19.9883164;0.0;68;0.6449109264705882;LapaBini
88;362;F09;6;9;1;8;0.0;0.05455870306695;0.004959882096995;0.0;66;0.7372719393939394;LapaBini
89;365;F10;6;10;1;8;0.0;0.05455870207314;0.01735958702327;0.0;51;0.877287294117647;LapaBini
90;368;F11;6;11;1;8;0.0;0.05455869882317;0.05455869882317;0.0;57;0.7769941052631579;LapaBini
91;371;F12;6;12;1;8;0.0;0.05455868819498;0.1760757664474;0.0;50;0.8959403800000001;LapaBini
92;374;F13;6;13;1;8;0.0;0.05455865343825;0.5951853102354;0.0;71;0.8905883521126761;LapaBini
93;377;F14;6;14;1;8;0.0;0.0545585397756;1.884749555884;0.0;50;0.8314961599999998;LapaBini
94;380;F15;6;15;1;8;0.0;0.05455868;6.1006524;0.0;76;0.6803067894736842;LapaBini
95;383;F16;6;16;1;8;0.0;0.05455868;19.9883164;0.0;61;0.8081140163934425;LapaBini
96;406;G01;7;1;1;8;0.0;0.01735958837356;0.004959882392447;0.0;73;0.6211457671232877;LapaBini
97;409;G02;7;2;1;8;0.0;0.01735958805735;0.01735958805735;0.0;68;0.5194001720588235;LapaBini
98;412;G03;7;3;1;8;0.0;0.01735958702327;0.05455870207314;0.0;76;0.548358482631579;LapaBini
99;415;G04;7;4;1;8;0.0;0.01735958364158;0.176075776936;0.0;63;0.5929319285714284;LapaBini
100;418;G05;7;5;1;8;0.0;0.01735957258261;0.5951853456896;0.0;83;0.508000243373494;LapaBini
101;421;G06;7;6;1;8;0.0;0.01735953641722;1.884749668155;0.0;100;0.564837068;LapaBini
102;424;G07;7;7;1;8;0.0;0.01735958;6.1006524;0.0;57;0.5390409070175439;LapaBini
103;427;G08;7;8;1;8;0.0;0.01735958;19.9883164;0.0;64;0.4976137890625;LapaBini
104;430;G09;7;9;1;8;0.0;0.01735958837356;0.004959882392447;0.0;81;0.5545516987654321;LapaBini
105;433;G10;7;10;1;8;0.0;0.01735958805735;0.01735958805735;0.0;72;0.5523821547638889;LapaBini
106;436;G11;7;11;1;8;0.0;0.01735958702327;0.05455870207314;0.0;74;0.5998342027027026;LapaBini
107;439;G12;7;12;1;8;0.0;0.01735958364158;0.176075776936;0.0;61;0.5943127688524591;LapaBini
108;442;G13;7;13;1;8;0.0;0.01735957258261;0.5951853456896;0.0;56;0.666820892857143;LapaBini
109;445;G14;7;14;1;8;0.0;0.01735953641722;1.884749668155;0.0;80;0.6948008787500001;LapaBini
110;448;G15;7;15;1;8;0.0;0.01735958;6.1006524;0.0;63;0.5583716031746032;LapaBini
111;451;G16;7;16;1;8;0.0;0.01735958;19.9883164;0.0;57;0.6628293859649123;LapaBini
112;474;H01;8;1;1;8;0.0;0.004959882482793;0.004959882482793;0.0;53;0.6824081509433961;LapaBini
113;477;H02;8;2;1;8;0.0;0.004959882392447;0.01735958837356;0.0;48;0.6227739854166666;LapaBini
114;480;H03;8;3;1;8;0.0;0.004959882096995;0.05455870306695;0.0;48;0.7410859375;LapaBini
115;483;H04;8;4;1;8;0.0;0.004959881130796;0.1760757801432;0.0;54;0.6642982481481482;LapaBini
116;486;H05;8;5;1;8;0.0;0.004959877971092;0.5951853565311;0.0;54;0.6380680537037037;LapaBini
117;489;H06;8;6;1;8;0.0;0.004959867638122;1.884749702486;0.0;47;0.7359718446808511;LapaBini
118;492;H07;8;7;1;8;0.0;0.00495988;6.1006524;0.0;62;0.5612093096774193;LapaBini
119;495;H08;8;8;1;8;0.0;0.00495988;19.9883164;0.0;59;0.6659784237288137;LapaBini
120;498;H09;8;9;1;8;0.0;0.004959882482793;0.004959882482793;0.0;44;0.7359057727272726;LapaBini
121;501;H10;8;10;1;8;0.0;0.004959882392447;0.01735958837356;0.0;53;0.6559716603773584;LapaBini
122;504;H11;8;11;1;8;0.0;0.004959882096995;0.05455870306695;0.0;29;0.6157959655172414;LapaBini
123;507;H12;8;12;1;8;0.0;0.004959881130796;0.1760757801432;0.0;6;0.3941473333333333;LapaBini
124;510;H13;8;13;1;8;0.0;0.004959877971092;0.5951853565311;0.0;44;0.7706764318181818;LapaBini
125;513;H14;8;14;1;8;0.0;0.004959867638122;1.884749702486;0.0;81;0.6067575543209877;LapaBini
126;516;H15;8;15;1;8;0.0;0.00495988;6.1006524;0.0;59;0.6930212016949152;LapaBini
127;519;H16;8;16;1;8;0.0;0.00495988;19.9883164;0.0;53;0.5565265094339623;LapaBini
128;46;A17;1;17;1;4;0.0;19.9883164;0.0;0.0;69;0.8743562608695652;Lapa
129;48;A18;1;18;1;4;0.0;19.9883164;0.0;0.0;73;0.7416769726027397;Lapa
130;114;B17;2;17;1;4;0.0;6.1006524;0.0;0.0;80;0.7449856374999999;Lapa
131;116;B18;2;18;1;4;0.0;6.1006524;0.0;0.0;88;0.6541602045454545;Lapa
132;182;C17;3;17;1;4;0.0;1.884749717609;0.0;0.0;64;0.835419203125;Lapa
133;184;C18;3;18;1;4;0.0;1.884749717609;0.0;0.0;69;0.8737193333333332;Lapa
134;250;D17;4;17;1;4;0.0;0.5951853613065;0.0;0.0;59;0.87028;Lapa
135;252;D18;4;18;1;4;0.0;0.5951853613065;0.0;0.0;62;0.8772087096774193;Lapa
136;318;E17;5;17;1;4;0.0;0.176075781556;0.0;0.0;89;0.6230995;Lapa
137;320;E18;5;18;1;4;0.0;0.176075781556;0.0;0.0;67;0.6535283432835821;Lapa
138;386;F17;6;17;1;4;0.0;0.0545587035047;0.0;0.0;61;0.7159615737704917;Lapa
139;388;F18;6;18;1;4;0.0;0.0545587035047;0.0;0.0;70;0.6078185142857142;Lapa
140;454;G17;7;17;1;4;0.0;0.01735958851285;0.0;0.0;68;0.5954094102941176;Lapa
141;456;G18;7;18;1;4;0.0;0.01735958851285;0.0;0.0;80;0.5738409124999999;Lapa
142;522;H17;8;17;1;4;0.0;0.004959882522588;0.0;0.0;73;0.5113270323287671;Lapa
143;524;H18;8;18;1;4;0.0;0.004959882522588;0.0;0.0;60;0.6247387833333333;Lapa
144;50;A19;1;19;1;6;0.0;0.0;19.9883164;0.0;77;0.6234792337662338;Bini
145;52;A20;1;20;1;6;0.0;0.0;19.9883164;0.0;76;0.6078774315789472;Bini
146;118;B19;2;19;1;6;0.0;0.0;6.1006524;0.0;71;0.5802732154929576;Bini
147;120;B20;2;20;1;6;0.0;0.0;6.1006524;0.0;68;0.5583769970588234;Bini
148;186;C19;3;19;1;6;0.0;0.0;1.884749717609;0.0;65;0.8179220307692308;Bini
149;188;C20;3;20;1;6;0.0;0.0;1.884749717609;0.0;57;0.8462968421052631;Bini
150;254;D19;4;19;1;6;0.0;0.0;0.5951853613065;0.0;63;0.8745579523809525;Bini
151;256;D20;4;20;1;6;0.0;0.0;0.5951853613065;0.0;67;0.7276616507462688;Bini
152;322;E19;5;19;1;6;0.0;0.0;0.176075781556;0.0;49;0.8797373469387755;Bini
153;324;E20;5;20;1;6;0.0;0.0;0.176075781556;0.0;72;0.6563881666666666;Bini
154;390;F19;6;19;1;6;0.0;0.0;0.0545587035047;0.0;55;0.601595449090909;Bini
155;392;F20;6;20;1;6;0.0;0.0;0.0545587035047;0.0;68;0.672066486764706;Bini
156;458;G19;7;19;1;6;0.0;0.0;0.01735958851285;0.0;71;0.6120546929577465;Bini
157;460;G20;7;20;1;6;0.0;0.0;0.01735958851285;0.0;67;0.5554599641791045;Bini
158;526;H19;8;19;1;6;0.0;0.0;0.004959882522588;0.0;60;0.47886456;Bini
159;528;H20;8;20;1;6;0.0;0.0;0.004959882522588;0.0;48;0.6227739854166666;Bini
160;54;A21;1;21;1;3;19.9883164;0.0;0.0;0.0;100;0.506850845;Navi
161;56;A22;1;22;1;3;19.9883164;0.0;0.0;0.0;76;0.5111851447368421;Navi
162;122;B21;2;21;1;3;6.1006524;0.0;0.0;0.0;86;0.424865111627907;Navi
163;124;B22;2;22;1;3;6.1006524;0.0;0.0;0.0;66;0.5544307151515152;Navi
164;190;C21;3;21;1;3;1.884749717609;0.0;0.0;0.0;72;0.7721172500000001;Navi
165;192;C22;3;22;1;3;1.884749717609;0.0;0.0;0.0;54;0.8255666296296298;Navi
166;258;D21;4;21;1;3;0.5951853613065;0.0;0.0;0.0;53;0.8615981132075474;Navi
167;260;D22;4;22;1;3;0.5951853613065;0.0;0.0;0.0;46;0.8489366739130432;Navi
168;326;E21;5;21;1;3;0.176075781556;0.0;0.0;0.0;61;0.6453091639344262;Navi
169;328;E22;5;22;1;3;0.176075781556;0.0;0.0;0.0;72;0.6662396805555555;Navi
170;394;F21;6;21;1;3;0.0545587035047;0.0;0.0;0.0;47;0.8633647659574468;Navi
171;396;F22;6;22;1;3;0.0545587035047;0.0;0.0;0.0;54;0.872750574074074;Navi
172;462;G21;7;21;1;3;0.01735958851285;0.0;0.0;0.0;43;0.6955607604651163;Navi
173;464;G22;7;22;1;3;0.01735958851285;0.0;0.0;0.0;68;0.5194001720588235;Navi
174;530;H21;8;21;1;3;0.004959882522588;0.0;0.0;0.0;46;0.6268334999999999;Navi
